feature,importance
koi_score,29.590567317672896
koi_max_mult_ev,4.814444004323385
koi_count,3.652533357907347
koi_dicco_msky,3.599443769396719
koi_model_snr,3.1897295423190837
koi_fwm_stat_sig,2.5523986948344923
koi_prad,2.492695527117349
koi_dikco_msky,2.4891724856849167
koi_impact,2.0841708949039557
koi_fwm_sra_err,1.8101794639837523
snr_per_transit,1.7981863542486973
koi_prad_err1,1.7013343885162866
koi_duration,1.6033222066862705
koi_smass_err1,1.6019356636760118
koi_fwm_sdeco,1.5929266401672606
koi_fwm_prao_err,1.522182157447538
orbital_velocity,1.5165064234327998
koi_time0bk_err1,1.4610220144902932
koi_srad_err1,1.3053978952044671
koi_smet_err2,1.2971319085328
is_earth_size,1.289404032868294
koi_srho_err1,1.2803313479120821
koi_dor,1.2471831324757356
koi_duration_err1,1.208923413082942
koi_dicco_mdec_err,1.172527929375227
koi_depth_err1,1.1090261908065684
koi_depth,1.102098895508188
koi_dor_err1,1.098493092293145
koi_srho_err2,1.073779415549411
koi_dicco_mra,1.070121456861393
koi_dicco_mdec,1.0492053232012257
koi_srho,1.0286175356276104
koi_dicco_mra_err,1.0278582382870218
koi_steff_err1,1.0008308442202252
koi_period_err1,0.9889339724836397
koi_max_sngle_ev,0.9755984427516311
koi_steff_err2,0.9686302998370955
koi_dikco_mra,0.920643165765365
koi_dicco_msky_err,0.8904939322149056
koi_period,0.886628559086378
koi_num_transits,0.8372301569430798
koi_dikco_mdec,0.7809469961409163
koi_dikco_mdec_err,0.775083855214618
koi_sma,0.7459523150296395
koi_incl,0.701215159434873
koi_smet_err1,0.6879493323624036
koi_dikco_mra_err,0.6791194802130524
koi_teq,0.6409184367031143
koi_dikco_msky_err,0.6341551826423686
koi_insol,0.4528191545615598
