iter	Passed	Remaining
414	3050	4300
415	3058	4293
416	3066	4287
417	3073	4278
418	3080	4271
419	3087	4264
420	3095	4256
421	3102	4248
422	3109	4241
423	3116	4234
424	3123	4226
425	3131	4218
426	3137	4210
427	3144	4202
428	3151	4195
429	3158	4186
430	3166	4180
431	3173	4172
432	3180	4164
433	3187	4157
434	3195	4150
435	3202	4142
436	3210	4135
437	3218	4129
438	3224	4120
439	3232	4113
440	3238	4105
441	3245	4097
442	3253	4090
443	3260	4082
444	3267	4074
445	3274	4067
446	3281	4059
447	3288	4052
448	3296	4045
449	3302	4036
450	3309	4028
451	3316	4020
452	3323	4012
453	3331	4006
454	3340	4001
455	3348	3994
456	3355	3986
457	3363	3979
458	3369	3972
459	3379	3967
460	3385	3958
461	3392	3951
462	3400	3943
463	3408	3937
464	3415	3929
465	3422	3922
466	3430	3914
467	3436	3906
468	3444	3899
469	3451	3892
470	3458	3884
471	3465	3876
472	3472	3868
473	3479	3860
474	3486	3853
475	3493	3846
476	3500	3837
477	3508	3831
478	3515	3823
479	3522	3816
480	3529	3808
481	3537	3802
482	3545	3794
483	3552	3787
484	3559	3779
485	3566	3772
486	3573	3764
487	3581	3757
488	3591	3752
489	3597	3744
490	3605	3737
491	3612	3729
492	3619	3722
493	3626	3714
494	3634	3707
495	3641	3700
496	3648	3692
497	3656	3685
498	3663	3677
499	3669	3669
500	3676	3662
501	3684	3655
502	3691	3647
503	3698	3640
504	3706	3632
505	3714	3625
506	3720	3618
507	3728	3611
508	3734	3602
509	3742	3595
510	3748	3587
511	3755	3579
512	3763	3572
513	3770	3564
514	3776	3556
515	3784	3549
516	3790	3541
517	3798	3534
518	3805	3526
519	3812	3519
520	3819	3511
521	3827	3504
522	3833	3496
523	3841	3489
524	3849	3482
525	3856	3475
526	3864	3468
527	3871	3460
528	3877	3452
529	3884	3444
530	3891	3437
531	3898	3429
532	3906	3423
533	3913	3414
534	3920	3407
535	3927	3400
536	3934	3392
537	3941	3385
538	3949	3377
539	3955	3369
540	3962	3361
541	3968	3353
542	3976	3346
543	3983	3338
544	3989	3330
545	3997	3323
546	4005	3316
547	4012	3309
548	4019	3301
549	4026	3294
550	4033	3286
551	4040	3279
552	4047	3271
553	4056	3265
554	4063	3258
555	4070	3250
556	4078	3243
557	4085	3236
558	4092	3228
559	4100	3221
560	4107	3214
561	4114	3206
562	4121	3198
563	4128	3191
564	4134	3183
565	4142	3176
566	4148	3168
567	4156	3161
568	4163	3153
569	4171	3146
570	4178	3139
571	4185	3131
572	4191	3123
573	4198	3115
574	4206	3109
575	4213	3101
576	4221	3095
577	4228	3087
578	4235	3079
579	4243	3073
580	4251	3065
581	4257	3057
582	4264	3050
583	4271	3042
584	4278	3034
585	4284	3027
586	4292	3020
587	4298	3012
588	4306	3004
589	4313	2997
590	4320	2989
591	4327	2982
592	4334	2975
593	4341	2967
594	4349	2960
595	4358	2954
596	4364	2946
597	4372	2939
598	4378	2931
599	4385	2923
600	4393	2917
601	4401	2909
602	4407	2902
603	4414	2894
604	4422	2887
605	4429	2879
606	4437	2872
607	4444	2865
608	4451	2858
609	4459	2850
610	4465	2843
611	4472	2835
612	4479	2828
613	4486	2820
614	4492	2812
615	4500	2805
616	4506	2797
617	4513	2790
618	4520	2782
619	4527	2774
620	4534	2767
621	4541	2759
622	4548	2752
623	4555	2744
624	4562	2737
625	4569	2729
626	4576	2722
627	4583	2715
628	4590	2707
629	4597	2700
630	4605	2693
631	4612	2685
632	4619	2678
633	4626	2670
634	4633	2663
635	4640	2655
636	4647	2648
637	4654	2640
638	4661	2633
639	4667	2625
640	4674	2618
641	4681	2610
642	4688	2603
643	4695	2595
644	4702	2588
645	4710	2581
646	4717	2573
647	4723	2566
648	4731	2558
649	4737	2551
650	4745	2543
651	4752	2536
652	4759	2529
653	4766	2521
654	4772	2513
655	4779	2506
656	4786	2498
657	4794	2492
658	4801	2484
659	4808	2477
660	4815	2469
661	4822	2462
662	4829	2454
663	4835	2447
664	4842	2439
665	4849	2431
666	4856	2424
667	4863	2417
668	4870	2409
669	4878	2402
670	4885	2395
671	4892	2387
672	4899	2380
673	4906	2373
674	4913	2365
675	4920	2358
676	4927	2350
677	4934	2343
678	4941	2336
679	4950	2329
680	4957	2322
681	4965	2315
682	4972	2307
683	4979	2300
684	4986	2293
685	4993	2285
686	5001	2278
687	5008	2271
688	5015	2263
689	5022	2256
690	5031	2249
691	5038	2242
692	5046	2235
693	5054	2228
694	5060	2220
695	5068	2213
696	5075	2206
697	5082	2199
698	5091	2192
699	5098	2184
700	5105	2177
701	5112	2170
702	5119	2162
703	5127	2155
704	5133	2148
705	5140	2140
706	5147	2133
707	5155	2126
708	5163	2119
709	5170	2111
710	5177	2104
711	5185	2097
712	5193	2090
713	5200	2083
714	5209	2076
715	5222	2071
716	5238	2067
717	5251	2062
718	5267	2058
719	5280	2053
720	5303	2052
721	5312	2045
722	5320	2038
723	5329	2031
724	5337	2024
725	5346	2017
726	5359	2012
727	5371	2007
728	5378	1999
729	5386	1992
730	5393	1984
731	5400	1977
732	5407	1969
733	5414	1962
734	5421	1954
735	5428	1947
736	5435	1939
737	5442	1932
738	5449	1924
739	5456	1917
740	5463	1909
741	5471	1902
742	5478	1895
743	5484	1887
744	5492	1879
745	5499	1872
746	5506	1865
747	5514	1857
748	5521	1850
749	5529	1843
750	5537	1836
751	5545	1828
752	5553	1821
753	5559	1813
754	5568	1806
755	5575	1799
756	5582	1792
757	5590	1784
758	5597	1777
759	5604	1769
760	5611	1762
761	5619	1755
762	5626	1747
763	5634	1740
764	5640	1732
765	5647	1725
766	5654	1717
767	5663	1710
768	5669	1703
769	5676	1695
770	5683	1688
771	5691	1680
772	5698	1673
773	5705	1666
774	5712	1658
775	5719	1651
776	5726	1643
777	5733	1635
778	5739	1628
779	5747	1621
780	5754	1613
781	5761	1606
782	5769	1598
783	5776	1591
784	5782	1583
785	5790	1576
786	5797	1569
787	5804	1561
788	5811	1554
789	5819	1546
790	5826	1539
791	5833	1531
792	5840	1524
793	5847	1517
794	5854	1509
795	5862	1502
796	5869	1494
797	5875	1487
798	5882	1479
799	5889	1472
800	5896	1464
801	5903	1457
802	5910	1450
803	5917	1442
804	5924	1435
805	5931	1427
806	5938	1420
807	5945	1412
808	5951	1405
809	5959	1397
810	5966	1390
811	5973	1382
812	5980	1375
813	5987	1368
814	5995	1360
815	6002	1353
816	6009	1346
817	6016	1338
818	6023	1331
819	6030	1323
820	6037	1316
821	6045	1309
822	6052	1301
823	6059	1294
824	6066	1286
825	6072	1279
826	6079	1271
827	6087	1264
828	6094	1257
829	6102	1249
830	6109	1242
831	6116	1235
832	6123	1227
833	6131	1220
834	6137	1212
835	6145	1205
836	6152	1198
837	6159	1190
838	6166	1183
839	6173	1175
840	6180	1168
841	6187	1161
842	6194	1153
843	6203	1146
844	6210	1139
845	6217	1131
846	6225	1124
847	6232	1117
848	6240	1109
849	6248	1102
850	6256	1095
851	6264	1088
852	6271	1080
853	6279	1073
854	6286	1066
855	6294	1058
856	6302	1051
857	6309	1044
858	6317	1036
859	6325	1029
860	6334	1022
861	6341	1015
862	6347	1007
863	6356	1000
864	6362	993
865	6369	985
866	6377	978
867	6384	970
868	6391	963
869	6398	956
870	6405	948
871	6412	941
872	6420	934
873	6427	926
874	6433	919
875	6442	911
876	6449	904
877	6456	897
878	6463	889
879	6470	882
880	6478	875
881	6485	867
882	6493	860
883	6500	852
884	6507	845
885	6514	838
886	6521	830
887	6528	823
888	6535	816
889	6542	808
890	6550	801
891	6556	793
892	6563	786
893	6571	779
894	6578	771
895	6584	764
896	6591	756
897	6598	749
898	6605	742
899	6614	734
900	6621	727
901	6627	720
902	6635	712
903	6642	705
904	6649	698
905	6656	690
906	6663	683
907	6670	675
908	6677	668
909	6684	661
910	6691	653
911	6699	646
912	6706	639
913	6713	631
914	6721	624
915	6728	617
916	6736	609
917	6743	602
918	6751	595
919	6759	587
920	6766	580
921	6774	573
922	6781	565
923	6788	558
924	6795	550
925	6802	543
926	6811	536
927	6817	528
928	6826	521
929	6833	514
930	6843	507
931	6849	499
932	6857	492
933	6865	485
934	6872	477
935	6879	470
936	6886	463
937	6893	455
938	6900	448
939	6906	440
940	6914	433
941	6921	426
