iter	MultiClass
0	1.064087555
1	1.030733467
2	0.9992564256
3	0.9706005233
4	0.9444664875
5	0.9188189095
6	0.8940423656
7	0.8712558467
8	0.8503557475
9	0.8303061834
10	0.8105135578
11	0.7932813641
12	0.7776937031
13	0.7604994031
14	0.7439166701
15	0.7289602805
16	0.714239735
17	0.7001661595
18	0.6860919459
19	0.6736505001
20	0.6617698676
21	0.6509599215
22	0.6404007105
23	0.6294887639
24	0.6191431558
25	0.608913212
26	0.6001451387
27	0.590671213
28	0.5811420126
29	0.5729208349
30	0.5643287944
31	0.556548975
32	0.5491306255
33	0.5415674136
34	0.5343341217
35	0.5275324847
36	0.5206476434
37	0.5137917066
38	0.5076945857
39	0.5020431595
40	0.4966258107
41	0.4911402725
42	0.4854984641
43	0.4803245526
44	0.4749754266
45	0.470425518
46	0.4655040789
47	0.4610897335
48	0.4563573447
49	0.4520789053
50	0.4478828681
51	0.4436249976
52	0.4394496635
53	0.4352575925
54	0.4314615417
55	0.4282683948
56	0.4241733975
57	0.4209631982
58	0.4182883189
59	0.4151538414
60	0.4124479617
61	0.4091277025
62	0.4062260194
63	0.4028392587
64	0.4000563734
65	0.3972304837
66	0.3946147018
67	0.3920381936
68	0.3893481959
69	0.3875651461
70	0.3854739721
71	0.3838141875
72	0.3816574279
73	0.3796376757
74	0.3775729158
75	0.3755183254
76	0.3730999014
77	0.371095007
78	0.3690700949
79	0.367427503
80	0.3649553627
81	0.3625131321
82	0.3605017755
83	0.3585516025
84	0.3568399223
85	0.3552630801
86	0.3537703838
87	0.3520281894
88	0.3504288444
89	0.3489405156
90	0.3475198938
91	0.3461597277
92	0.3439973676
93	0.3424143256
94	0.3408552762
95	0.3395756826
96	0.3377257815
97	0.3365191066
98	0.335058021
99	0.3333615118
100	0.3319795583
101	0.3309898703
102	0.3301152437
103	0.3290365209
104	0.3277740305
105	0.326364538
106	0.3252788819
107	0.3242755071
108	0.3234172569
109	0.3226499065
110	0.3214231429
111	0.3206603186
112	0.3193672102
113	0.3185895723
114	0.3179757121
115	0.3172831348
116	0.3164269263
117	0.3156809146
118	0.3150821528
119	0.3140887615
120	0.3131502388
121	0.3123680473
122	0.3115128546
123	0.310792242
124	0.3100354548
125	0.3093600937
