feature,importance
koi_score,26.42070536670113
koi_max_mult_ev,5.64727071923808
koi_model_snr,4.450910903061411
koi_count,4.020862288877494
koi_dicco_msky,3.986416662553212
koi_prad,2.3893876561965546
koi_dikco_msky,2.28603455269495
koi_fwm_stat_sig,2.280822963781248
koi_impact,2.2732104773788495
koi_duration_err1,2.06658342704027
koi_fwm_sra_err,1.9806580726791618
orbital_velocity,1.9254854006125093
koi_duration,1.896109054714832
snr_per_transit,1.5968010363985676
koi_srad_err1,1.5965146038823264
koi_depth_err1,1.43056851225127
koi_fwm_prao_err,1.4190803228419597
koi_prad_err1,1.3591005771303504
koi_srho_err1,1.3231353960835717
koi_time0bk_err1,1.306447591865444
koi_fwm_sdeco,1.3002044055794835
koi_srho_err2,1.2663327467504302
koi_srho,1.2557652055387831
koi_max_sngle_ev,1.2533374891045275
koi_smet_err2,1.1466411453373715
koi_dicco_mdec_err,1.144900122941684
koi_smass_err1,1.1311925097081363
koi_steff_err1,1.1274755203806244
koi_dor_err1,1.123896762857305
koi_dikco_mra,1.062146128485222
koi_dor,1.0364654297781752
koi_dicco_msky_err,1.034435373473203
koi_dikco_mdec,0.9989697557781287
koi_dicco_mra,0.9879403505613625
is_earth_size,0.9774101433695362
koi_dikco_msky_err,0.9380907821918253
koi_dicco_mdec,0.8920433844515865
koi_period_err1,0.8916102593373227
koi_period,0.8791972598696552
koi_depth,0.8744986941714131
koi_dicco_mra_err,0.8612774289040139
koi_num_transits,0.8558069807196521
koi_sma,0.844524424968266
koi_dikco_mdec_err,0.8394380132428497
koi_steff_err2,0.7744156663292807
koi_teq,0.6883090610268888
koi_smet_err1,0.6854330038451795
koi_incl,0.664616865270939
koi_insol,0.4167660665498089
koi_dikco_mra_err,0.39075343349415265
